,date_time,price_usd,srch_booking_window,srch_saturday_night_bool
0,2013-03-14 11:27:28,206.0,99,1
1,2013-01-03 20:48:24,186.0,6,0
2,2013-01-19 16:51:27,61.0,1,0
3,2013-01-26 11:34:23,72.0,116,0
4,2013-04-29 09:39:50,246.0,245,0
5,2013-03-25 19:43:44,52.0,7,0
6,2013-05-19 19:52:42,68.0,42,0
7,2012-11-14 17:18:51,46.0,4,0
8,2013-01-10 19:22:49,50.0,46,0
9,2013-03-27 14:49:27,122.0,100,1
10,2013-05-20 08:14:41,209.0,5,1
11,2013-06-27 19:02:34,89.0,69,0
12,2013-05-21 18:49:33,66.0,7,0
13,2012-11-25 18:24:55,52.0,26,1
14,2013-04-07 22:42:16,195.0,12,1
15,2013-05-24 21:03:54,111.0,22,1
16,2013-05-04 08:31:26,115.0,10,0
17,2012-11-02 16:05:35,43.0,17,0
18,2013-03-01 18:51:53,66.0,30,0
19,2013-06-15 10:13:01,64.0,36,0
20,2012-12-09 11:39:06,43.0,24,0
21,2012-11-18 22:06:17,68.0,3,0
22,2012-11-01 03:06:43,78.0,16,1
23,2013-02-09 20:24:55,73.0,88,0
24,2013-04-16 06:05:58,64.0,77,0
25,2013-04-24 16:54:51,76.0,0,0
26,2013-05-08 13:46:34,73.0,4,0
27,2012-12-31 11:13:27,71.0,27,0
28,2013-05-17 17:25:15,62.0,221,0
29,2012-12-18 07:56:34,68.0,28,0
30,2012-12-20 08:37:44,90.0,61,0
31,2013-05-08 22:15:41,58.0,19,0
32,2012-12-27 11:21:45,46.0,6,0
33,2013-05-12 06:11:34,141.0,145,1
34,2013-02-28 15:19:54,145.0,16,1
35,2013-02-19 14:40:31,178.0,94,1
36,2012-11-21 20:18:25,44.0,32,0
37,2013-01-09 00:24:45,53.0,21,0
38,2013-04-14 12:08:05,106.0,21,0
39,2013-05-28 19:32:14,150.0,25,1
40,2013-02-02 10:37:23,118.0,5,1
41,2013-02-18 11:45:16,123.0,81,1
42,2012-12-08 15:25:51,90.0,14,1
43,2012-12-22 01:15:09,73.5,0,1
44,2013-02-13 14:24:31,162.0,23,1
45,2013-02-27 18:50:40,181.0,16,1
46,2012-12-30 20:08:35,49.0,3,0
47,2013-02-03 21:03:49,90.0,7,0
48,2013-05-14 12:51:46,120.0,1,0
49,2012-12-19 08:28:11,66.0,7,0
50,2013-04-03 21:04:38,80.0,35,0
51,2012-12-26 15:26:42,94.0,2,1
52,2012-12-23 13:47:19,66.0,1,0
53,2013-06-30 16:43:40,68.0,8,0
54,2012-12-27 20:29:05,67.0,19,0
55,2013-04-24 19:20:13,81.0,28,0
56,2013-01-10 11:21:09,66.0,1,1
57,2012-11-28 09:54:49,57.0,27,0
58,2013-06-01 09:53:35,76.0,8,0
59,2012-11-07 20:26:03,59.0,17,1
60,2013-06-09 21:20:51,184.0,19,1
61,2013-01-21 15:07:40,88.0,138,1
62,2012-12-17 19:48:07,71.0,6,0
63,2013-04-21 18:52:00,276.0,5,1
64,2012-12-03 20:34:56,56.0,21,0
65,2013-01-14 19:54:55,75.0,26,1
66,2013-02-20 11:00:18,80.0,163,0
67,2013-04-30 12:39:39,92.33,54,0
68,2013-01-07 04:38:43,88.0,0,0
69,2013-03-20 08:18:54,190.0,18,0
70,2013-06-18 10:47:52,142.0,38,1
71,2013-01-08 18:29:31,106.0,32,1
72,2013-01-21 19:23:56,95.0,158,1
73,2013-04-16 13:08:06,71.0,8,0
74,2013-06-07 20:57:59,214.0,1,1
75,2013-03-06 19:07:51,69.0,18,0
76,2012-11-18 08:59:13,90.0,12,1
77,2013-01-13 18:59:24,58.0,74,1
78,2012-11-24 14:42:02,46.0,25,0
79,2012-12-31 15:44:15,154.0,46,1
80,2013-02-05 09:26:39,94.0,135,1
81,2013-05-19 11:41:29,73.0,8,0
82,2013-02-19 08:50:46,111.0,3,1
83,2013-01-12 17:49:07,64.0,15,0
84,2013-06-08 16:57:50,366.0,14,1
85,2013-05-08 08:33:53,83.0,5,0
86,2012-12-26 21:55:53,133.0,3,1
87,2013-03-01 17:27:13,80.0,109,0
88,2013-06-03 17:29:24,143.0,26,1
89,2012-11-09 18:08:40,126.0,0,1
90,2013-03-15 09:14:07,146.0,0,1
91,2012-11-15 05:37:40,253.0,55,0
92,2013-06-05 21:37:33,182.0,87,1
93,2013-05-28 12:28:28,132.0,52,1
94,2013-04-01 20:08:54,186.0,8,0
95,2013-02-21 14:13:38,209.0,29,1
96,2013-02-26 12:16:22,156.0,22,0
97,2013-01-14 13:40:16,55.0,217,0
98,2012-12-28 09:02:28,103.0,132,1
99,2013-05-08 17:49:29,178.0,11,0
100,2013-03-08 19:30:45,180.0,77,1
101,2012-12-02 16:45:19,116.0,26,1
102,2013-02-09 11:34:07,102.0,13,1
103,2013-04-07 00:57:49,150.0,0,0
104,2013-06-14 11:26:27,56.0,23,0
105,2012-11-10 22:10:22,129.0,131,1
106,2013-02-25 21:35:49,155.0,82,1
107,2012-11-18 20:04:54,46.0,0,0
108,2013-01-14 00:08:14,66.0,6,0
109,2013-05-09 09:33:25,66.0,48,0
110,2013-02-18 15:13:04,92.0,20,0
111,2013-02-26 10:22:29,120.0,11,1
112,2013-04-18 19:24:37,47.0,2,1
113,2013-03-07 19:25:29,168.0,7,1
114,2013-06-17 01:25:45,164.0,26,1
115,2013-01-13 10:14:23,110.0,32,1
116,2013-05-26 00:11:05,66.0,7,0
117,2013-03-02 08:39:58,130.0,28,1
118,2013-06-11 15:19:16,144.0,22,0
119,2013-01-15 09:04:59,143.0,3,1
120,2013-01-15 21:02:30,136.0,11,1
121,2013-02-25 14:31:30,211.0,25,1
122,2012-11-26 18:10:18,54.0,28,0
123,2013-03-12 16:29:11,77.0,95,1
124,2013-03-02 21:19:26,172.0,33,1
125,2013-03-01 00:20:51,66.0,58,0
126,2013-02-08 09:20:40,81.0,6,1
127,2013-06-17 16:43:51,56.0,13,0
128,2013-01-19 10:48:00,49.0,5,1
129,2013-02-25 13:46:34,62.0,28,0
130,2013-06-12 05:48:01,115.0,80,1
131,2012-12-04 11:08:57,80.0,2,1
132,2013-05-28 16:17:35,98.0,1,0
133,2012-12-05 13:06:37,143.0,23,0
134,2012-12-27 23:36:59,90.0,1,1
135,2013-01-09 10:17:46,87.0,78,1
136,2013-05-23 21:02:37,66.0,10,0
137,2013-03-17 15:19:16,109.0,192,0
138,2013-06-07 07:15:03,309.0,22,1
139,2013-05-01 17:38:47,136.0,7,0
140,2013-05-19 12:01:58,137.0,48,1
141,2012-11-01 17:26:52,139.0,1,1
142,2013-04-30 08:17:46,230.0,17,1
143,2013-04-02 23:49:57,200.0,3,1
144,2012-11-01 14:42:39,92.0,79,1
145,2013-03-27 20:22:20,188.0,51,1
146,2013-04-23 22:22:20,181.0,38,1
147,2013-01-12 21:45:00,44.0,1,0
148,2013-03-21 21:05:27,52.0,10,0
149,2012-12-22 14:06:55,56.0,2,0
150,2013-06-20 15:53:49,69.0,40,0
151,2013-06-16 07:25:27,434.0,6,1
152,2013-01-01 17:42:02,70.0,4,1
153,2013-02-11 12:20:23,111.0,65,0
154,2012-11-19 23:45:54,87.0,37,0
155,2013-03-13 13:23:35,63.0,18,0
156,2012-11-09 07:55:23,97.0,14,1
157,2012-12-11 00:02:26,198.0,26,0
158,2013-04-19 22:12:22,124.0,16,0
159,2012-11-23 06:21:38,84.0,34,1
160,2013-06-04 07:08:47,87.0,0,0
161,2013-04-29 15:29:48,165.0,7,0
162,2013-03-07 19:44:40,160.0,9,1
163,2013-06-14 10:10:34,131.0,77,1
164,2013-04-11 11:13:39,147.0,35,1
165,2013-06-21 12:46:50,112.0,48,1
166,2012-12-20 09:43:53,69.0,1,1
167,2013-06-11 10:23:24,64.0,7,0
168,2013-06-26 03:49:27,71.0,46,0
169,2013-06-07 12:56:06,165.0,22,1
170,2013-06-04 22:20:24,130.0,3,1
171,2013-06-02 20:28:11,72.0,15,0
172,2013-04-11 23:39:04,62.0,119,1
173,2013-01-27 12:09:46,149.0,20,1
174,2013-06-09 18:08:22,64.0,58,0
175,2013-05-30 23:23:12,56.0,46,0
176,2012-11-25 15:40:17,40.0,22,0
177,2013-01-09 19:14:06,94.0,10,1
178,2013-03-13 13:47:20,103.0,15,1
179,2013-06-29 22:57:16,79.0,25,0
180,2012-12-24 10:41:09,153.0,53,1
181,2013-05-15 14:00:07,71.0,27,0
182,2013-02-21 15:39:01,88.0,24,0
183,2013-06-13 09:25:29,68.0,193,0
184,2013-06-09 18:58:47,64.0,66,0
185,2013-02-19 15:13:49,62.0,35,0
186,2013-06-03 00:44:58,151.0,11,1
